# of model parameters: 8859862
--------------------- Training -------------------------------

Training Epoch: [0001 | 0200] LR: 0.050000
[epoch: 0001] (0001/0391) | Loss: 2.3663 | top1: 9.3750 | top5: 47.6562 
[epoch: 0001] (0011/0391) | Loss: 2.2277 | top1: 10.0852 | top5: 53.6932 
[epoch: 0001] (0021/0391) | Loss: 2.1574 | top1: 14.7693 | top5: 58.8170 
[epoch: 0001] (0031/0391) | Loss: 2.0872 | top1: 17.9940 | top5: 65.4990 
[epoch: 0001] (0041/0391) | Loss: 2.0319 | top1: 19.9314 | top5: 68.9405 
[epoch: 0001] (0051/0391) | Loss: 1.9887 | top1: 21.8903 | top5: 71.8597 
[epoch: 0001] (0061/0391) | Loss: 1.9544 | top1: 23.5272 | top5: 73.7705 
[epoch: 0001] (0071/0391) | Loss: 1.9317 | top1: 25.0000 | top5: 75.6052 
[epoch: 0001] (0081/0391) | Loss: 1.9009 | top1: 25.6076 | top5: 76.6397 
[epoch: 0001] (0091/0391) | Loss: 1.8720 | top1: 26.8029 | top5: 77.9705 
[epoch: 0001] (0101/0391) | Loss: 1.8479 | top1: 28.1405 | top5: 79.1228 
[epoch: 0001] (0111/0391) | Loss: 1.8243 | top1: 29.3919 | top5: 80.1168 
[epoch: 0001] (0121/0391) | Loss: 1.8064 | top1: 30.3202 | top5: 80.9013 
[epoch: 0001] (0131/0391) | Loss: 1.7926 | top1: 30.9339 | top5: 81.4349 
[epoch: 0001] (0141/0391) | Loss: 1.7769 | top1: 31.6656 | top5: 82.0700 
[epoch: 0001] (0151/0391) | Loss: 1.7603 | top1: 32.1865 | top5: 82.7608 
[epoch: 0001] (0161/0391) | Loss: 1.7457 | top1: 32.8804 | top5: 83.3366 
[epoch: 0001] (0171/0391) | Loss: 1.7317 | top1: 33.3105 | top5: 83.7354 
[epoch: 0001] (0181/0391) | Loss: 1.7180 | top1: 34.0211 | top5: 84.1419 
[epoch: 0001] (0191/0391) | Loss: 1.7038 | top1: 34.6940 | top5: 84.5713 
[epoch: 0001] (0201/0391) | Loss: 1.6917 | top1: 35.2651 | top5: 84.9580 
[epoch: 0001] (0211/0391) | Loss: 1.6777 | top1: 35.9449 | top5: 85.3192 
[epoch: 0001] (0221/0391) | Loss: 1.6655 | top1: 36.5420 | top5: 85.6653 
[epoch: 0001] (0231/0391) | Loss: 1.6549 | top1: 37.0265 | top5: 85.9510 
[epoch: 0001] (0241/0391) | Loss: 1.6412 | top1: 37.6264 | top5: 86.2844 
[epoch: 0001] (0251/0391) | Loss: 1.6294 | top1: 38.1723 | top5: 86.5849 
[epoch: 0001] (0261/0391) | Loss: 1.6204 | top1: 38.2932 | top5: 86.7247 
[epoch: 0001] (0271/0391) | Loss: 1.6087 | top1: 38.7800 | top5: 86.9955 
[epoch: 0001] (0281/0391) | Loss: 1.5976 | top1: 39.2655 | top5: 87.2220 
[epoch: 0001] (0291/0391) | Loss: 1.5869 | top1: 39.7927 | top5: 87.4356 
[epoch: 0001] (0301/0391) | Loss: 1.5760 | top1: 40.2590 | top5: 87.6116 
[epoch: 0001] (0311/0391) | Loss: 1.5676 | top1: 40.6627 | top5: 87.8165 
[epoch: 0001] (0321/0391) | Loss: 1.5579 | top1: 41.0996 | top5: 88.0135 
[epoch: 0001] (0331/0391) | Loss: 1.5488 | top1: 41.3992 | top5: 88.2034 
[epoch: 0001] (0341/0391) | Loss: 1.5385 | top1: 41.8049 | top5: 88.4004 
[epoch: 0001] (0351/0391) | Loss: 1.5292 | top1: 42.2431 | top5: 88.5662 
[epoch: 0001] (0361/0391) | Loss: 1.5207 | top1: 42.6463 | top5: 88.7336 
[epoch: 0001] (0371/0391) | Loss: 1.5126 | top1: 43.0130 | top5: 88.8940 
[epoch: 0001] (0381/0391) | Loss: 1.5054 | top1: 43.3645 | top5: 89.0748 
[epoch: 0001] (0391/0391) | Loss: 1.4971 | top1: 43.7540 | top5: 89.2420 

Training Epoch: [0002 | 0200] LR: 0.050000
[epoch: 0002] (0001/0391) | Loss: 0.9870 | top1: 67.1875 | top5: 95.3125 
[epoch: 0002] (0011/0391) | Loss: 1.1512 | top1: 59.5881 | top5: 95.3125 
[epoch: 0002] (0021/0391) | Loss: 1.1374 | top1: 59.4866 | top5: 95.7217 
[epoch: 0002] (0031/0391) | Loss: 1.1296 | top1: 58.3165 | top5: 95.0857 
[epoch: 0002] (0041/0391) | Loss: 1.1185 | top1: 58.7081 | top5: 95.4268 
[epoch: 0002] (0051/0391) | Loss: 1.1176 | top1: 59.2831 | top5: 95.4350 
[epoch: 0002] (0061/0391) | Loss: 1.1091 | top1: 59.6568 | top5: 95.5174 
[epoch: 0002] (0071/0391) | Loss: 1.1101 | top1: 59.8371 | top5: 95.5656 
[epoch: 0002] (0081/0391) | Loss: 1.1067 | top1: 59.8187 | top5: 95.6597 
[epoch: 0002] (0091/0391) | Loss: 1.1022 | top1: 60.0532 | top5: 95.7160 
[epoch: 0002] (0101/0391) | Loss: 1.0900 | top1: 59.4756 | top5: 95.5213 
[epoch: 0002] (0111/0391) | Loss: 1.0842 | top1: 59.9029 | top5: 95.6503 
[epoch: 0002] (0121/0391) | Loss: 1.0814 | top1: 59.9432 | top5: 95.7451 
[epoch: 0002] (0131/0391) | Loss: 1.0749 | top1: 60.0489 | top5: 95.7001 
[epoch: 0002] (0141/0391) | Loss: 1.0739 | top1: 59.9346 | top5: 95.7391 
[epoch: 0002] (0151/0391) | Loss: 1.0676 | top1: 60.1407 | top5: 95.7678 
[epoch: 0002] (0161/0391) | Loss: 1.0636 | top1: 60.0058 | top5: 95.7880 
[epoch: 0002] (0171/0391) | Loss: 1.0625 | top1: 60.1151 | top5: 95.8059 
[epoch: 0002] (0181/0391) | Loss: 1.0561 | top1: 60.2598 | top5: 95.8866 
[epoch: 0002] (0191/0391) | Loss: 1.0510 | top1: 60.4589 | top5: 95.9670 
[epoch: 0002] (0201/0391) | Loss: 1.0460 | top1: 60.8248 | top5: 96.0432 
[epoch: 0002] (0211/0391) | Loss: 1.0399 | top1: 61.1337 | top5: 96.0975 
[epoch: 0002] (0221/0391) | Loss: 1.0354 | top1: 61.3440 | top5: 96.1574 
[epoch: 0002] (0231/0391) | Loss: 1.0331 | top1: 61.5530 | top5: 96.1986 
[epoch: 0002] (0241/0391) | Loss: 1.0290 | top1: 61.6345 | top5: 96.2072 
[epoch: 0002] (0251/0391) | Loss: 1.0248 | top1: 61.8277 | top5: 96.2618 
