# of model parameters: 8859862
--------------------- Training -------------------------------

Training Epoch: [0001 | 0200] LR: 0.050000
[epoch: 0001] (0001/0391) | Loss: 2.3177 | top1: 8.5938 | top5: 45.3125 
[epoch: 0001] (0011/0391) | Loss: 2.3030 | top1: 9.3040 | top5: 51.7045 
[epoch: 0001] (0021/0391) | Loss: 2.2885 | top1: 11.1607 | top5: 57.9985 
[epoch: 0001] (0031/0391) | Loss: 2.2750 | top1: 13.8609 | top5: 61.4667 
[epoch: 0001] (0041/0391) | Loss: 2.2581 | top1: 15.6250 | top5: 64.4627 
[epoch: 0001] (0051/0391) | Loss: 2.2405 | top1: 16.6667 | top5: 66.9730 
[epoch: 0001] (0061/0391) | Loss: 2.2190 | top1: 17.9944 | top5: 68.8140 
[epoch: 0001] (0071/0391) | Loss: 2.1988 | top1: 18.6950 | top5: 70.1805 
[epoch: 0001] (0081/0391) | Loss: 2.1746 | top1: 19.7820 | top5: 71.6532 
[epoch: 0001] (0091/0391) | Loss: 2.1491 | top1: 20.2438 | top5: 72.5704 
[epoch: 0001] (0101/0391) | Loss: 2.1272 | top1: 20.8617 | top5: 73.3988 
[epoch: 0001] (0111/0391) | Loss: 2.1055 | top1: 21.3612 | top5: 74.1976 
[epoch: 0001] (0121/0391) | Loss: 2.0851 | top1: 21.8750 | top5: 74.9161 
[epoch: 0001] (0131/0391) | Loss: 2.0667 | top1: 22.5012 | top5: 75.5606 
[epoch: 0001] (0141/0391) | Loss: 2.0488 | top1: 22.9776 | top5: 76.1248 
[epoch: 0001] (0151/0391) | Loss: 2.0303 | top1: 23.0598 | top5: 76.2779 
[epoch: 0001] (0161/0391) | Loss: 2.0123 | top1: 23.7481 | top5: 76.9216 
[epoch: 0001] (0171/0391) | Loss: 1.9952 | top1: 24.4061 | top5: 77.5676 
[epoch: 0001] (0181/0391) | Loss: 1.9784 | top1: 24.9180 | top5: 78.1768 
[epoch: 0001] (0191/0391) | Loss: 1.9618 | top1: 25.3763 | top5: 78.3786 
[epoch: 0001] (0201/0391) | Loss: 1.9496 | top1: 25.7812 | top5: 78.7586 
[epoch: 0001] (0211/0391) | Loss: 1.9357 | top1: 25.9553 | top5: 79.0840 
[epoch: 0001] (0221/0391) | Loss: 1.9223 | top1: 26.2691 | top5: 79.5037 
[epoch: 0001] (0231/0391) | Loss: 1.9104 | top1: 26.5896 | top5: 79.8363 
[epoch: 0001] (0241/0391) | Loss: 1.8968 | top1: 27.0196 | top5: 80.1835 
[epoch: 0001] (0251/0391) | Loss: 1.8862 | top1: 27.4745 | top5: 80.5870 
[epoch: 0001] (0261/0391) | Loss: 1.8757 | top1: 27.8077 | top5: 80.8848 
[epoch: 0001] (0271/0391) | Loss: 1.8626 | top1: 28.3124 | top5: 81.2644 
[epoch: 0001] (0281/0391) | Loss: 1.8513 | top1: 28.7923 | top5: 81.6392 
[epoch: 0001] (0291/0391) | Loss: 1.8387 | top1: 29.1774 | top5: 81.9480 
[epoch: 0001] (0301/0391) | Loss: 1.8274 | top1: 29.5447 | top5: 82.1792 
[epoch: 0001] (0311/0391) | Loss: 1.8173 | top1: 29.8809 | top5: 82.4884 
