# of model parameters: 8859762
--------------------- Training -------------------------------

Training Epoch: [0001 | 0200] LR: 0.050000
[epoch: 0001] (0001/0391) | Loss: 2.3224 | top1: 12.5000 | top5: 51.5625 
[epoch: 0001] (0011/0391) | Loss: 2.1883 | top1: 11.3636 | top5: 52.5568 
[epoch: 0001] (0021/0391) | Loss: 2.0854 | top1: 13.7277 | top5: 58.3705 
[epoch: 0001] (0031/0391) | Loss: 2.0142 | top1: 17.6663 | top5: 65.3730 
[epoch: 0001] (0041/0391) | Loss: 1.9636 | top1: 20.7317 | top5: 69.7790 
[epoch: 0001] (0051/0391) | Loss: 1.9262 | top1: 22.4265 | top5: 72.5490 
[epoch: 0001] (0061/0391) | Loss: 1.8897 | top1: 24.6798 | top5: 74.8847 
[epoch: 0001] (0071/0391) | Loss: 1.8665 | top1: 26.3534 | top5: 76.5075 
[epoch: 0001] (0081/0391) | Loss: 1.8388 | top1: 27.1798 | top5: 77.7199 
[epoch: 0001] (0091/0391) | Loss: 1.8103 | top1: 28.5714 | top5: 78.8977 
[epoch: 0001] (0101/0391) | Loss: 1.7869 | top1: 29.8731 | top5: 80.0820 
[epoch: 0001] (0111/0391) | Loss: 1.7655 | top1: 31.2289 | top5: 81.1444 
[epoch: 0001] (0121/0391) | Loss: 1.7449 | top1: 32.2056 | top5: 81.9409 
[epoch: 0001] (0131/0391) | Loss: 1.7303 | top1: 33.0272 | top5: 82.5322 
[epoch: 0001] (0141/0391) | Loss: 1.7156 | top1: 33.8819 | top5: 83.0286 
[epoch: 0001] (0151/0391) | Loss: 1.6988 | top1: 34.5406 | top5: 83.5989 
[epoch: 0001] (0161/0391) | Loss: 1.6854 | top1: 35.3309 | top5: 84.1130 
[epoch: 0001] (0171/0391) | Loss: 1.6709 | top1: 36.1842 | top5: 84.6080 
[epoch: 0001] (0181/0391) | Loss: 1.6580 | top1: 36.7188 | top5: 84.9189 
[epoch: 0001] (0191/0391) | Loss: 1.6438 | top1: 37.4059 | top5: 85.3158 
[epoch: 0001] (0201/0391) | Loss: 1.6329 | top1: 37.9159 | top5: 85.5838 
[epoch: 0001] (0211/0391) | Loss: 1.6203 | top1: 38.4405 | top5: 85.9523 
[epoch: 0001] (0221/0391) | Loss: 1.6078 | top1: 38.8257 | top5: 86.2592 
[epoch: 0001] (0231/0391) | Loss: 1.5966 | top1: 39.4345 | top5: 86.5361 
[epoch: 0001] (0241/0391) | Loss: 1.5840 | top1: 40.0804 | top5: 86.8452 
[epoch: 0001] (0251/0391) | Loss: 1.5733 | top1: 40.6686 | top5: 87.1732 
[epoch: 0001] (0261/0391) | Loss: 1.5643 | top1: 41.0441 | top5: 87.3892 
[epoch: 0001] (0271/0391) | Loss: 1.5515 | top1: 41.6398 | top5: 87.6759 
[epoch: 0001] (0281/0391) | Loss: 1.5396 | top1: 42.1097 | top5: 87.9198 
[epoch: 0001] (0291/0391) | Loss: 1.5281 | top1: 42.6681 | top5: 88.1416 
[epoch: 0001] (0301/0391) | Loss: 1.5190 | top1: 42.9506 | top5: 88.3306 
[epoch: 0001] (0311/0391) | Loss: 1.5094 | top1: 43.3908 | top5: 88.4948 
[epoch: 0001] (0321/0391) | Loss: 1.4996 | top1: 43.9058 | top5: 88.7096 
[epoch: 0001] (0331/0391) | Loss: 1.4894 | top1: 44.3896 | top5: 88.9185 
[epoch: 0001] (0341/0391) | Loss: 1.4777 | top1: 44.9391 | top5: 89.1198 
[epoch: 0001] (0351/0391) | Loss: 1.4686 | top1: 45.2591 | top5: 89.2428 
[epoch: 0001] (0361/0391) | Loss: 1.4596 | top1: 45.6956 | top5: 89.4217 
[epoch: 0001] (0371/0391) | Loss: 1.4512 | top1: 46.0432 | top5: 89.5616 
[epoch: 0001] (0381/0391) | Loss: 1.4444 | top1: 46.3316 | top5: 89.6654 
[epoch: 0001] (0391/0391) | Loss: 1.4363 | top1: 46.6860 | top5: 89.7900 

Training Epoch: [0002 | 0200] LR: 0.050000
[epoch: 0002] (0001/0391) | Loss: 0.9372 | top1: 57.8125 | top5: 93.7500 
[epoch: 0002] (0011/0391) | Loss: 1.0689 | top1: 58.8068 | top5: 95.3125 
[epoch: 0002] (0021/0391) | Loss: 1.0746 | top1: 59.9330 | top5: 95.6845 
[epoch: 0002] (0031/0391) | Loss: 1.0742 | top1: 58.7954 | top5: 94.6573 
[epoch: 0002] (0041/0391) | Loss: 1.0594 | top1: 60.1562 | top5: 95.1029 
[epoch: 0002] (0051/0391) | Loss: 1.0549 | top1: 60.4167 | top5: 95.1593 
[epoch: 0002] (0061/0391) | Loss: 1.0508 | top1: 60.6429 | top5: 95.2100 
