# of model parameters: 11168842
--------------------- Training -------------------------------

Training Epoch: [0001 | 0200] LR: 0.050000
[epoch: 0001] (0001/0391) | Loss: 2.2946 | top1: 7.8125 | top5: 46.8750 
[epoch: 0001] (0011/0391) | Loss: 2.2607 | top1: 16.4062 | top5: 60.7244 
[epoch: 0001] (0021/0391) | Loss: 2.2256 | top1: 17.5595 | top5: 66.1458 
[epoch: 0001] (0031/0391) | Loss: 2.1856 | top1: 20.8417 | top5: 70.2873 
[epoch: 0001] (0041/0391) | Loss: 2.1499 | top1: 22.2561 | top5: 73.2660 
[epoch: 0001] (0051/0391) | Loss: 2.1227 | top1: 23.3456 | top5: 75.1838 
[epoch: 0001] (0061/0391) | Loss: 2.1014 | top1: 24.5389 | top5: 76.2167 
[epoch: 0001] (0071/0391) | Loss: 2.0837 | top1: 25.2751 | top5: 76.9146 
[epoch: 0001] (0081/0391) | Loss: 2.0639 | top1: 26.4275 | top5: 77.8356 
[epoch: 0001] (0091/0391) | Loss: 2.0424 | top1: 27.9018 | top5: 78.6659 
[epoch: 0001] (0101/0391) | Loss: 2.0255 | top1: 28.6433 | top5: 79.2930 
[epoch: 0001] (0111/0391) | Loss: 2.0094 | top1: 28.9766 | top5: 79.6664 
[epoch: 0001] (0121/0391) | Loss: 1.9927 | top1: 29.5971 | top5: 80.1588 
[epoch: 0001] (0131/0391) | Loss: 1.9776 | top1: 30.2481 | top5: 80.5880 
[epoch: 0001] (0141/0391) | Loss: 1.9603 | top1: 30.8954 | top5: 81.0007 
[epoch: 0001] (0151/0391) | Loss: 1.9438 | top1: 31.5708 | top5: 81.5139 
[epoch: 0001] (0161/0391) | Loss: 1.9281 | top1: 32.2933 | top5: 81.9148 
[epoch: 0001] (0171/0391) | Loss: 1.9149 | top1: 32.6298 | top5: 82.4105 
[epoch: 0001] (0181/0391) | Loss: 1.9011 | top1: 33.2743 | top5: 82.7952 
[epoch: 0001] (0191/0391) | Loss: 1.8870 | top1: 33.7328 | top5: 83.0375 
[epoch: 0001] (0201/0391) | Loss: 1.8744 | top1: 34.1573 | top5: 83.2634 
[epoch: 0001] (0211/0391) | Loss: 1.8619 | top1: 34.6120 | top5: 83.5530 
[epoch: 0001] (0221/0391) | Loss: 1.8499 | top1: 35.1068 | top5: 83.8660 
[epoch: 0001] (0231/0391) | Loss: 1.8379 | top1: 35.6162 | top5: 84.1856 
[epoch: 0001] (0241/0391) | Loss: 1.8251 | top1: 36.0963 | top5: 84.4496 
[epoch: 0001] (0251/0391) | Loss: 1.8139 | top1: 36.4915 | top5: 84.6551 
[epoch: 0001] (0261/0391) | Loss: 1.8010 | top1: 37.0360 | top5: 84.8809 
[epoch: 0001] (0271/0391) | Loss: 1.7901 | top1: 37.3559 | top5: 84.9083 
[epoch: 0001] (0281/0391) | Loss: 1.7793 | top1: 37.7363 | top5: 85.1368 
[epoch: 0001] (0291/0391) | Loss: 1.7686 | top1: 38.0396 | top5: 85.3898 
[epoch: 0001] (0301/0391) | Loss: 1.7570 | top1: 38.4136 | top5: 85.6416 
[epoch: 0001] (0311/0391) | Loss: 1.7469 | top1: 38.6455 | top5: 85.7541 
[epoch: 0001] (0321/0391) | Loss: 1.7358 | top1: 38.9968 | top5: 85.9229 
[epoch: 0001] (0331/0391) | Loss: 1.7259 | top1: 39.4165 | top5: 86.1027 
[epoch: 0001] (0341/0391) | Loss: 1.7142 | top1: 39.8529 | top5: 86.2605 
[epoch: 0001] (0351/0391) | Loss: 1.7042 | top1: 40.2733 | top5: 86.4494 
[epoch: 0001] (0361/0391) | Loss: 1.6937 | top1: 40.6293 | top5: 86.5932 
[epoch: 0001] (0371/0391) | Loss: 1.6832 | top1: 40.9851 | top5: 86.7861 
[epoch: 0001] (0381/0391) | Loss: 1.6732 | top1: 41.2771 | top5: 86.9423 
[epoch: 0001] (0391/0391) | Loss: 1.6635 | top1: 41.5660 | top5: 87.0860 

Training Epoch: [0002 | 0200] LR: 0.050000
[epoch: 0002] (0001/0391) | Loss: 1.3589 | top1: 46.8750 | top5: 89.8438 
[epoch: 0002] (0011/0391) | Loss: 1.2196 | top1: 59.0199 | top5: 94.6733 
[epoch: 0002] (0021/0391) | Loss: 1.2556 | top1: 55.8780 | top5: 94.0104 
[epoch: 0002] (0031/0391) | Loss: 1.2448 | top1: 56.3256 | top5: 94.2540 
[epoch: 0002] (0041/0391) | Loss: 1.2467 | top1: 55.9261 | top5: 94.0739 
[epoch: 0002] (0051/0391) | Loss: 1.2415 | top1: 55.6373 | top5: 94.0717 
[epoch: 0002] (0061/0391) | Loss: 1.2311 | top1: 56.3653 | top5: 94.0446 
[epoch: 0002] (0071/0391) | Loss: 1.2279 | top1: 56.3710 | top5: 94.1021 
[epoch: 0002] (0081/0391) | Loss: 1.2242 | top1: 56.1728 | top5: 94.0008 
[epoch: 0002] (0091/0391) | Loss: 1.2220 | top1: 56.4560 | top5: 94.0161 
[epoch: 0002] (0101/0391) | Loss: 1.2199 | top1: 56.6136 | top5: 94.0594 
[epoch: 0002] (0111/0391) | Loss: 1.2150 | top1: 56.5175 | top5: 94.0456 
[epoch: 0002] (0121/0391) | Loss: 1.2097 | top1: 56.4954 | top5: 94.0341 
[epoch: 0002] (0131/0391) | Loss: 1.2050 | top1: 56.8285 | top5: 94.0363 
[epoch: 0002] (0141/0391) | Loss: 1.1999 | top1: 57.1088 | top5: 94.1434 
[epoch: 0002] (0151/0391) | Loss: 1.1936 | top1: 57.1244 | top5: 94.1846 
