# of model parameters: 11173962
--------------------- Training -------------------------------

Training Epoch: [0001 | 0200] LR: 0.050000
[epoch: 0001] (0001/0391) | Loss: 2.4173 | top1: 10.9375 | top5: 53.1250 
[epoch: 0001] (0011/0391) | Loss: 2.4993 | top1: 15.8381 | top5: 60.5824 
[epoch: 0001] (0021/0391) | Loss: 2.5198 | top1: 15.5878 | top5: 61.7188 
[epoch: 0001] (0031/0391) | Loss: 2.4114 | top1: 16.7843 | top5: 63.5837 
[epoch: 0001] (0041/0391) | Loss: 2.2991 | top1: 18.2736 | top5: 67.0732 
[epoch: 0001] (0051/0391) | Loss: 2.2290 | top1: 20.1134 | top5: 70.3431 
[epoch: 0001] (0061/0391) | Loss: 2.1774 | top1: 22.1568 | top5: 72.3745 
[epoch: 0001] (0071/0391) | Loss: 2.1449 | top1: 22.9754 | top5: 73.9657 
[epoch: 0001] (0081/0391) | Loss: 2.1011 | top1: 24.0644 | top5: 75.8102 
[epoch: 0001] (0091/0391) | Loss: 2.0596 | top1: 25.1803 | top5: 77.0604 
[epoch: 0001] (0101/0391) | Loss: 2.0245 | top1: 26.1757 | top5: 78.1095 
[epoch: 0001] (0111/0391) | Loss: 1.9979 | top1: 26.6610 | top5: 78.7866 
[epoch: 0001] (0121/0391) | Loss: 1.9701 | top1: 27.6343 | top5: 79.7327 
[epoch: 0001] (0131/0391) | Loss: 1.9479 | top1: 28.4590 | top5: 80.3674 
[epoch: 0001] (0141/0391) | Loss: 1.9246 | top1: 29.4049 | top5: 81.0395 
[epoch: 0001] (0151/0391) | Loss: 1.9007 | top1: 30.2256 | top5: 81.6484 
[epoch: 0001] (0161/0391) | Loss: 1.8794 | top1: 31.0510 | top5: 82.0846 
[epoch: 0001] (0171/0391) | Loss: 1.8615 | top1: 31.5972 | top5: 82.6069 
[epoch: 0001] (0181/0391) | Loss: 1.8472 | top1: 32.2039 | top5: 82.9765 
[epoch: 0001] (0191/0391) | Loss: 1.8335 | top1: 32.8616 | top5: 83.3811 
[epoch: 0001] (0201/0391) | Loss: 1.8210 | top1: 33.0768 | top5: 83.6754 
[epoch: 0001] (0211/0391) | Loss: 1.8081 | top1: 33.4234 | top5: 83.9973 
[epoch: 0001] (0221/0391) | Loss: 1.7950 | top1: 33.8589 | top5: 84.3821 
[epoch: 0001] (0231/0391) | Loss: 1.7813 | top1: 34.3243 | top5: 84.7403 
[epoch: 0001] (0241/0391) | Loss: 1.7677 | top1: 34.8483 | top5: 85.0817 
[epoch: 0001] (0251/0391) | Loss: 1.7553 | top1: 35.3243 | top5: 85.3337 
[epoch: 0001] (0261/0391) | Loss: 1.7435 | top1: 35.7998 | top5: 85.6501 
[epoch: 0001] (0271/0391) | Loss: 1.7328 | top1: 36.1998 | top5: 85.9433 
[epoch: 0001] (0281/0391) | Loss: 1.7212 | top1: 36.6520 | top5: 86.2016 
[epoch: 0001] (0291/0391) | Loss: 1.7102 | top1: 37.0704 | top5: 86.4315 
[epoch: 0001] (0301/0391) | Loss: 1.6978 | top1: 37.4844 | top5: 86.6435 
[epoch: 0001] (0311/0391) | Loss: 1.6883 | top1: 37.8140 | top5: 86.7816 
[epoch: 0001] (0321/0391) | Loss: 1.6779 | top1: 38.3007 | top5: 86.9743 
[epoch: 0001] (0331/0391) | Loss: 1.6693 | top1: 38.5220 | top5: 87.1365 
[epoch: 0001] (0341/0391) | Loss: 1.6596 | top1: 38.8975 | top5: 87.3259 
[epoch: 0001] (0351/0391) | Loss: 1.6513 | top1: 39.2495 | top5: 87.5045 
[epoch: 0001] (0361/0391) | Loss: 1.6412 | top1: 39.6511 | top5: 87.6645 
[epoch: 0001] (0371/0391) | Loss: 1.6322 | top1: 39.8711 | top5: 87.7843 
[epoch: 0001] (0381/0391) | Loss: 1.6231 | top1: 40.1595 | top5: 87.9265 
[epoch: 0001] (0391/0391) | Loss: 1.6149 | top1: 40.4160 | top5: 88.0700 

Training Epoch: [0002 | 0200] LR: 0.050000
[epoch: 0002] (0001/0391) | Loss: 1.4070 | top1: 40.6250 | top5: 92.9688 
[epoch: 0002] (0011/0391) | Loss: 1.2069 | top1: 56.9602 | top5: 95.8097 
[epoch: 0002] (0021/0391) | Loss: 1.2085 | top1: 57.7753 | top5: 95.4241 
[epoch: 0002] (0031/0391) | Loss: 1.2105 | top1: 57.2329 | top5: 95.2369 
[epoch: 0002] (0041/0391) | Loss: 1.2110 | top1: 57.1646 | top5: 95.0648 
[epoch: 0002] (0051/0391) | Loss: 1.2083 | top1: 57.4142 | top5: 95.2206 
[epoch: 0002] (0061/0391) | Loss: 1.1981 | top1: 57.0441 | top5: 95.2357 
[epoch: 0002] (0071/0391) | Loss: 1.1954 | top1: 57.0973 | top5: 95.2575 
[epoch: 0002] (0081/0391) | Loss: 1.1985 | top1: 56.8673 | top5: 95.1775 
[epoch: 0002] (0091/0391) | Loss: 1.2017 | top1: 56.5076 | top5: 95.1494 
[epoch: 0002] (0101/0391) | Loss: 1.2000 | top1: 56.3815 | top5: 95.1887 
[epoch: 0002] (0111/0391) | Loss: 1.1944 | top1: 56.6793 | top5: 95.2280 
[epoch: 0002] (0121/0391) | Loss: 1.1879 | top1: 56.9667 | top5: 95.2673 
[epoch: 0002] (0131/0391) | Loss: 1.1824 | top1: 57.2340 | top5: 95.1932 
[epoch: 0002] (0141/0391) | Loss: 1.1774 | top1: 57.2750 | top5: 95.2793 
[epoch: 0002] (0151/0391) | Loss: 1.1705 | top1: 57.0882 | top5: 95.2659 
[epoch: 0002] (0161/0391) | Loss: 1.1599 | top1: 57.1817 | top5: 95.3416 
[epoch: 0002] (0171/0391) | Loss: 1.1542 | top1: 57.5978 | top5: 95.3628 
[epoch: 0002] (0181/0391) | Loss: 1.1496 | top1: 57.8600 | top5: 95.3988 
[epoch: 0002] (0191/0391) | Loss: 1.1463 | top1: 58.0375 | top5: 95.4311 
[epoch: 0002] (0201/0391) | Loss: 1.1418 | top1: 58.3528 | top5: 95.4602 
[epoch: 0002] (0211/0391) | Loss: 1.1381 | top1: 58.4531 | top5: 95.5124 
[epoch: 0002] (0221/0391) | Loss: 1.1346 | top1: 58.4488 | top5: 95.5246 
[epoch: 0002] (0231/0391) | Loss: 1.1294 | top1: 58.7223 | top5: 95.6067 
[epoch: 0002] (0241/0391) | Loss: 1.1257 | top1: 58.8207 | top5: 95.6529 
[epoch: 0002] (0251/0391) | Loss: 1.1223 | top1: 58.9392 | top5: 95.7016 
[epoch: 0002] (0261/0391) | Loss: 1.1179 | top1: 59.0876 | top5: 95.7585 
[epoch: 0002] (0271/0391) | Loss: 1.1139 | top1: 59.2510 | top5: 95.7651 
[epoch: 0002] (0281/0391) | Loss: 1.1081 | top1: 59.5641 | top5: 95.8407 
[epoch: 0002] (0291/0391) | Loss: 1.1047 | top1: 59.7025 | top5: 95.8629 
[epoch: 0002] (0301/0391) | Loss: 1.1010 | top1: 59.8733 | top5: 95.9069 
[epoch: 0002] (0311/0391) | Loss: 1.0961 | top1: 60.0080 | top5: 95.9556 
[epoch: 0002] (0321/0391) | Loss: 1.0934 | top1: 60.1587 | top5: 95.9575 
[epoch: 0002] (0331/0391) | Loss: 1.0890 | top1: 60.0618 | top5: 95.9333 
[epoch: 0002] (0341/0391) | Loss: 1.0859 | top1: 60.0119 | top5: 95.9173 
[epoch: 0002] (0351/0391) | Loss: 1.0816 | top1: 60.1830 | top5: 95.9713 
[epoch: 0002] (0361/0391) | Loss: 1.0771 | top1: 60.3467 | top5: 95.9942 
[epoch: 0002] (0371/0391) | Loss: 1.0729 | top1: 60.4869 | top5: 96.0095 
[epoch: 0002] (0381/0391) | Loss: 1.0676 | top1: 60.6873 | top5: 96.0158 
[epoch: 0002] (0391/0391) | Loss: 1.0633 | top1: 60.8560 | top5: 96.0540 

Training Epoch: [0003 | 0200] LR: 0.050000
[epoch: 0003] (0001/0391) | Loss: 0.8402 | top1: 68.7500 | top5: 99.2188 
[epoch: 0003] (0011/0391) | Loss: 0.8873 | top1: 68.6080 | top5: 98.0824 
[epoch: 0003] (0021/0391) | Loss: 0.8839 | top1: 68.8616 | top5: 97.8423 
[epoch: 0003] (0031/0391) | Loss: 0.8939 | top1: 67.7167 | top5: 97.6058 
[epoch: 0003] (0041/0391) | Loss: 0.8924 | top1: 68.3498 | top5: 97.6181 
[epoch: 0003] (0051/0391) | Loss: 0.8902 | top1: 68.3977 | top5: 97.5950 
[epoch: 0003] (0061/0391) | Loss: 0.8829 | top1: 68.6860 | top5: 97.6691 
[epoch: 0003] (0071/0391) | Loss: 0.8773 | top1: 68.8380 | top5: 97.7773 
[epoch: 0003] (0081/0391) | Loss: 0.8718 | top1: 68.9333 | top5: 97.6755 
[epoch: 0003] (0091/0391) | Loss: 0.8654 | top1: 69.0247 | top5: 97.6992 
[epoch: 0003] (0101/0391) | Loss: 0.8598 | top1: 68.9743 | top5: 97.6176 
[epoch: 0003] (0111/0391) | Loss: 0.8554 | top1: 69.2005 | top5: 97.6070 
[epoch: 0003] (0121/0391) | Loss: 0.8497 | top1: 69.4086 | top5: 97.6498 
[epoch: 0003] (0131/0391) | Loss: 0.8514 | top1: 69.5312 | top5: 97.6384 
[epoch: 0003] (0141/0391) | Loss: 0.8486 | top1: 69.5312 | top5: 97.6452 
[epoch: 0003] (0151/0391) | Loss: 0.8431 | top1: 69.7123 | top5: 97.6252 
[epoch: 0003] (0161/0391) | Loss: 0.8414 | top1: 69.9243 | top5: 97.6611 
[epoch: 0003] (0171/0391) | Loss: 0.8349 | top1: 70.2577 | top5: 97.7293 
[epoch: 0003] (0181/0391) | Loss: 0.8328 | top1: 70.2305 | top5: 97.7167 
[epoch: 0003] (0191/0391) | Loss: 0.8303 | top1: 70.3084 | top5: 97.7421 
[epoch: 0003] (0201/0391) | Loss: 0.8264 | top1: 70.5651 | top5: 97.7923 
[epoch: 0003] (0211/0391) | Loss: 0.8263 | top1: 70.5976 | top5: 97.7821 
[epoch: 0003] (0221/0391) | Loss: 0.8261 | top1: 70.5882 | top5: 97.7835 
[epoch: 0003] (0231/0391) | Loss: 0.8226 | top1: 70.8536 | top5: 97.8186 
[epoch: 0003] (0241/0391) | Loss: 0.8189 | top1: 70.9997 | top5: 97.8443 
[epoch: 0003] (0251/0391) | Loss: 0.8173 | top1: 71.0439 | top5: 97.8274 
[epoch: 0003] (0261/0391) | Loss: 0.8165 | top1: 71.0429 | top5: 97.8329 
[epoch: 0003] (0271/0391) | Loss: 0.8133 | top1: 71.1601 | top5: 97.8350 
[epoch: 0003] (0281/0391) | Loss: 0.8116 | top1: 71.1855 | top5: 97.8703 
[epoch: 0003] (0291/0391) | Loss: 0.8074 | top1: 71.3756 | top5: 97.9086 
[epoch: 0003] (0301/0391) | Loss: 0.8047 | top1: 71.4519 | top5: 97.9288 
[epoch: 0003] (0311/0391) | Loss: 0.8019 | top1: 71.5987 | top5: 97.9652 
[epoch: 0003] (0321/0391) | Loss: 0.8003 | top1: 71.7119 | top5: 97.9605 
[epoch: 0003] (0331/0391) | Loss: 0.7980 | top1: 71.8231 | top5: 97.9607 
[epoch: 0003] (0341/0391) | Loss: 0.7987 | top1: 71.7673 | top5: 97.9380 
[epoch: 0003] (0351/0391) | Loss: 0.7976 | top1: 71.7793 | top5: 97.9612 
[epoch: 0003] (0361/0391) | Loss: 0.7969 | top1: 71.7971 | top5: 97.9376 
[epoch: 0003] (0371/0391) | Loss: 0.7955 | top1: 71.8245 | top5: 97.9595 
[epoch: 0003] (0381/0391) | Loss: 0.7938 | top1: 71.9304 | top5: 97.9761 
[epoch: 0003] (0391/0391) | Loss: 0.7909 | top1: 72.0340 | top5: 98.0040 

Training Epoch: [0004 | 0200] LR: 0.050000
[epoch: 0004] (0001/0391) | Loss: 0.6875 | top1: 81.2500 | top5: 99.2188 
[epoch: 0004] (0011/0391) | Loss: 0.6580 | top1: 78.4801 | top5: 98.6506 
[epoch: 0004] (0021/0391) | Loss: 0.6696 | top1: 76.1905 | top5: 98.4003 
[epoch: 0004] (0031/0391) | Loss: 0.6810 | top1: 75.7056 | top5: 98.5131 
[epoch: 0004] (0041/0391) | Loss: 0.6847 | top1: 76.0480 | top5: 98.6090 
[epoch: 0004] (0051/0391) | Loss: 0.6846 | top1: 76.2714 | top5: 98.6213 
[epoch: 0004] (0061/0391) | Loss: 0.6877 | top1: 75.7172 | top5: 98.5912 
[epoch: 0004] (0071/0391) | Loss: 0.6951 | top1: 75.3301 | top5: 98.5145 
[epoch: 0004] (0081/0391) | Loss: 0.6915 | top1: 75.7523 | top5: 98.5243 
[epoch: 0004] (0091/0391) | Loss: 0.6906 | top1: 75.3606 | top5: 98.5234 
[epoch: 0004] (0101/0391) | Loss: 0.6942 | top1: 75.1624 | top5: 98.4607 
[epoch: 0004] (0111/0391) | Loss: 0.6925 | top1: 75.0141 | top5: 98.4305 
[epoch: 0004] (0121/0391) | Loss: 0.6889 | top1: 75.2776 | top5: 98.4569 
[epoch: 0004] (0131/0391) | Loss: 0.6859 | top1: 75.5069 | top5: 98.4852 
[epoch: 0004] (0141/0391) | Loss: 0.6841 | top1: 75.4876 | top5: 98.4597 
