# of model parameters: 11173962
--------------------- Training -------------------------------

Training Epoch: [0001 | 0200] LR: 0.050000
[epoch: 0001] (0001/0391) | Loss: 2.3110 | top1: 9.3750 | top5: 48.4375 
[epoch: 0001] (0011/0391) | Loss: 2.2780 | top1: 13.5653 | top5: 58.5227 
[epoch: 0001] (0021/0391) | Loss: 2.2232 | top1: 15.8482 | top5: 62.9464 
[epoch: 0001] (0031/0391) | Loss: 2.1508 | top1: 17.5907 | top5: 66.5827 
[epoch: 0001] (0041/0391) | Loss: 2.0876 | top1: 19.6456 | top5: 69.9314 
[epoch: 0001] (0051/0391) | Loss: 2.0491 | top1: 20.8333 | top5: 71.9210 
[epoch: 0001] (0061/0391) | Loss: 2.0115 | top1: 21.6060 | top5: 73.3222 
[epoch: 0001] (0071/0391) | Loss: 1.9904 | top1: 22.0621 | top5: 74.0207 
[epoch: 0001] (0081/0391) | Loss: 1.9626 | top1: 23.0613 | top5: 75.3472 
[epoch: 0001] (0091/0391) | Loss: 1.9363 | top1: 24.4248 | top5: 76.3221 
[epoch: 0001] (0101/0391) | Loss: 1.9158 | top1: 24.9536 | top5: 76.9415 
[epoch: 0001] (0111/0391) | Loss: 1.8952 | top1: 25.6053 | top5: 77.8787 
[epoch: 0001] (0121/0391) | Loss: 1.8756 | top1: 26.4721 | top5: 78.6286 
[epoch: 0001] (0131/0391) | Loss: 1.8593 | top1: 27.3199 | top5: 79.3833 
[epoch: 0001] (0141/0391) | Loss: 1.8406 | top1: 28.0696 | top5: 79.9202 
[epoch: 0001] (0151/0391) | Loss: 1.8238 | top1: 28.7200 | top5: 80.4998 
[epoch: 0001] (0161/0391) | Loss: 1.8064 | top1: 29.3575 | top5: 81.0608 
[epoch: 0001] (0171/0391) | Loss: 1.7916 | top1: 29.9662 | top5: 81.6795 
[epoch: 0001] (0181/0391) | Loss: 1.7772 | top1: 30.6802 | top5: 82.1694 
[epoch: 0001] (0191/0391) | Loss: 1.7656 | top1: 31.2827 | top5: 82.5753 
[epoch: 0001] (0201/0391) | Loss: 1.7551 | top1: 31.9185 | top5: 83.0146 
[epoch: 0001] (0211/0391) | Loss: 1.7432 | top1: 32.4941 | top5: 83.3827 
[epoch: 0001] (0221/0391) | Loss: 1.7317 | top1: 33.0387 | top5: 83.8059 
[epoch: 0001] (0231/0391) | Loss: 1.7198 | top1: 33.5363 | top5: 84.1011 
[epoch: 0001] (0241/0391) | Loss: 1.7066 | top1: 34.1773 | top5: 84.4690 
[epoch: 0001] (0251/0391) | Loss: 1.6951 | top1: 34.6147 | top5: 84.7547 
[epoch: 0001] (0261/0391) | Loss: 1.6832 | top1: 35.2730 | top5: 85.0964 
[epoch: 0001] (0271/0391) | Loss: 1.6732 | top1: 35.7299 | top5: 85.4071 
[epoch: 0001] (0281/0391) | Loss: 1.6629 | top1: 36.0292 | top5: 85.6150 
[epoch: 0001] (0291/0391) | Loss: 1.6527 | top1: 36.4020 | top5: 85.8731 
[epoch: 0001] (0301/0391) | Loss: 1.6416 | top1: 36.7888 | top5: 86.1296 
[epoch: 0001] (0311/0391) | Loss: 1.6320 | top1: 37.2387 | top5: 86.3520 
[epoch: 0001] (0321/0391) | Loss: 1.6214 | top1: 37.7069 | top5: 86.5849 
[epoch: 0001] (0331/0391) | Loss: 1.6122 | top1: 38.0216 | top5: 86.7376 
[epoch: 0001] (0341/0391) | Loss: 1.6023 | top1: 38.4439 | top5: 86.9387 
[epoch: 0001] (0351/0391) | Loss: 1.5945 | top1: 38.7665 | top5: 87.0949 
[epoch: 0001] (0361/0391) | Loss: 1.5848 | top1: 39.1729 | top5: 87.2793 
[epoch: 0001] (0371/0391) | Loss: 1.5743 | top1: 39.6900 | top5: 87.4937 
[epoch: 0001] (0381/0391) | Loss: 1.5642 | top1: 40.1636 | top5: 87.7153 
[epoch: 0001] (0391/0391) | Loss: 1.5556 | top1: 40.5580 | top5: 87.9080 

Training Epoch: [0002 | 0200] LR: 0.050000
[epoch: 0002] (0001/0391) | Loss: 1.3518 | top1: 42.1875 | top5: 92.9688 
[epoch: 0002] (0011/0391) | Loss: 1.1744 | top1: 52.9830 | top5: 93.8210 
[epoch: 0002] (0021/0391) | Loss: 1.1972 | top1: 52.9018 | top5: 94.2708 
[epoch: 0002] (0031/0391) | Loss: 1.1912 | top1: 54.9647 | top5: 94.9345 
[epoch: 0002] (0041/0391) | Loss: 1.1800 | top1: 54.8018 | top5: 95.2934 
[epoch: 0002] (0051/0391) | Loss: 1.1682 | top1: 55.4994 | top5: 95.5270 
[epoch: 0002] (0061/0391) | Loss: 1.1572 | top1: 55.6481 | top5: 95.3637 
[epoch: 0002] (0071/0391) | Loss: 1.1530 | top1: 56.2390 | top5: 95.4776 
[epoch: 0002] (0081/0391) | Loss: 1.1521 | top1: 56.4333 | top5: 95.5054 
[epoch: 0002] (0091/0391) | Loss: 1.1526 | top1: 56.3702 | top5: 95.4069 
[epoch: 0002] (0101/0391) | Loss: 1.1525 | top1: 56.1572 | top5: 95.3048 
[epoch: 0002] (0111/0391) | Loss: 1.1461 | top1: 56.4330 | top5: 95.3688 
[epoch: 0002] (0121/0391) | Loss: 1.1403 | top1: 56.7472 | top5: 95.4158 
[epoch: 0002] (0131/0391) | Loss: 1.1339 | top1: 57.0193 | top5: 95.2886 
[epoch: 0002] (0141/0391) | Loss: 1.1271 | top1: 57.2307 | top5: 95.3568 
[epoch: 0002] (0151/0391) | Loss: 1.1205 | top1: 57.0985 | top5: 95.3901 
