# of model parameters: 8859762
--------------------- Training -------------------------------

Training Epoch: [0001 | 0200] LR: 0.050000
[epoch: 0001] (0001/0391) | Loss: 2.3102 | top1: 14.0625 | top5: 50.0000 
[epoch: 0001] (0011/0391) | Loss: 2.2912 | top1: 9.7301 | top5: 57.1023 
[epoch: 0001] (0021/0391) | Loss: 2.2607 | top1: 12.5744 | top5: 63.8765 
[epoch: 0001] (0031/0391) | Loss: 2.2327 | top1: 16.1290 | top5: 68.4728 
[epoch: 0001] (0041/0391) | Loss: 2.2062 | top1: 18.9405 | top5: 71.9512 
[epoch: 0001] (0051/0391) | Loss: 2.1848 | top1: 21.3082 | top5: 73.9124 
[epoch: 0001] (0061/0391) | Loss: 2.1630 | top1: 23.3222 | top5: 75.4483 
[epoch: 0001] (0071/0391) | Loss: 2.1453 | top1: 24.6919 | top5: 75.9793 
[epoch: 0001] (0081/0391) | Loss: 2.1249 | top1: 25.6462 | top5: 76.7458 
[epoch: 0001] (0091/0391) | Loss: 2.1051 | top1: 26.5883 | top5: 77.5841 
[epoch: 0001] (0101/0391) | Loss: 2.0891 | top1: 27.2819 | top5: 77.9780 
[epoch: 0001] (0111/0391) | Loss: 2.0729 | top1: 28.3361 | top5: 78.6388 
[epoch: 0001] (0121/0391) | Loss: 2.0572 | top1: 29.1516 | top5: 79.0031 
[epoch: 0001] (0131/0391) | Loss: 2.0427 | top1: 29.7889 | top5: 79.3237 
[epoch: 0001] (0141/0391) | Loss: 2.0285 | top1: 30.5574 | top5: 79.9091 
[epoch: 0001] (0151/0391) | Loss: 2.0143 | top1: 31.0224 | top5: 80.3963 
[epoch: 0001] (0161/0391) | Loss: 2.0007 | top1: 31.6576 | top5: 80.7842 
[epoch: 0001] (0171/0391) | Loss: 1.9864 | top1: 32.2917 | top5: 81.3003 
[epoch: 0001] (0181/0391) | Loss: 1.9734 | top1: 32.7737 | top5: 81.5133 
[epoch: 0001] (0191/0391) | Loss: 1.9600 | top1: 33.1356 | top5: 81.8963 
[epoch: 0001] (0201/0391) | Loss: 1.9488 | top1: 33.3644 | top5: 82.1245 
[epoch: 0001] (0211/0391) | Loss: 1.9363 | top1: 33.8122 | top5: 82.4237 
[epoch: 0001] (0221/0391) | Loss: 1.9240 | top1: 34.3679 | top5: 82.8302 
[epoch: 0001] (0231/0391) | Loss: 1.9114 | top1: 34.8417 | top5: 83.1270 
[epoch: 0001] (0241/0391) | Loss: 1.8990 | top1: 35.2405 | top5: 83.3636 
[epoch: 0001] (0251/0391) | Loss: 1.8874 | top1: 35.5484 | top5: 83.5595 
[epoch: 0001] (0261/0391) | Loss: 1.8764 | top1: 35.8148 | top5: 83.7733 
[epoch: 0001] (0271/0391) | Loss: 1.8638 | top1: 36.2719 | top5: 84.0752 
[epoch: 0001] (0281/0391) | Loss: 1.8516 | top1: 36.6576 | top5: 84.3027 
[epoch: 0001] (0291/0391) | Loss: 1.8397 | top1: 37.1832 | top5: 84.6166 
[epoch: 0001] (0301/0391) | Loss: 1.8277 | top1: 37.6999 | top5: 84.8681 
[epoch: 0001] (0311/0391) | Loss: 1.8165 | top1: 38.1456 | top5: 85.0985 
[epoch: 0001] (0321/0391) | Loss: 1.8048 | top1: 38.5709 | top5: 85.3096 
[epoch: 0001] (0331/0391) | Loss: 1.7939 | top1: 38.9327 | top5: 85.4536 
[epoch: 0001] (0341/0391) | Loss: 1.7821 | top1: 39.3214 | top5: 85.6603 
[epoch: 0001] (0351/0391) | Loss: 1.7710 | top1: 39.6768 | top5: 85.8173 
