# of model parameters: 11168842
--------------------- Training -------------------------------

Training Epoch: [0001 | 0200] LR: 0.050000
[epoch: 0001] (0001/0391) | Loss: 2.3039 | top1: 7.8125 | top5: 46.0938 
[epoch: 0001] (0011/0391) | Loss: 2.1586 | top1: 12.0739 | top5: 52.5568 
[epoch: 0001] (0021/0391) | Loss: 2.0587 | top1: 12.7976 | top5: 55.5432 
[epoch: 0001] (0031/0391) | Loss: 1.9840 | top1: 16.0786 | top5: 60.6351 
[epoch: 0001] (0041/0391) | Loss: 1.9156 | top1: 21.1509 | top5: 67.2256 
[epoch: 0001] (0051/0391) | Loss: 1.8789 | top1: 23.4222 | top5: 71.0631 
[epoch: 0001] (0061/0391) | Loss: 1.8470 | top1: 25.6660 | top5: 73.8217 
[epoch: 0001] (0071/0391) | Loss: 1.8330 | top1: 26.9476 | top5: 75.5722 
[epoch: 0001] (0081/0391) | Loss: 1.8080 | top1: 28.3468 | top5: 77.3920 
[epoch: 0001] (0091/0391) | Loss: 1.7798 | top1: 29.8764 | top5: 78.8977 
[epoch: 0001] (0101/0391) | Loss: 1.7582 | top1: 31.0644 | top5: 79.9737 
[epoch: 0001] (0111/0391) | Loss: 1.7436 | top1: 31.9257 | top5: 80.8910 
[epoch: 0001] (0121/0391) | Loss: 1.7253 | top1: 32.7092 | top5: 81.6826 
[epoch: 0001] (0131/0391) | Loss: 1.7119 | top1: 33.4506 | top5: 82.3056 
[epoch: 0001] (0141/0391) | Loss: 1.6947 | top1: 34.2199 | top5: 82.9122 
[epoch: 0001] (0151/0391) | Loss: 1.6783 | top1: 35.0993 | top5: 83.4954 
[epoch: 0001] (0161/0391) | Loss: 1.6623 | top1: 35.9618 | top5: 84.0014 
[epoch: 0001] (0171/0391) | Loss: 1.6501 | top1: 36.4081 | top5: 84.4846 
[epoch: 0001] (0181/0391) | Loss: 1.6384 | top1: 36.9993 | top5: 84.8239 
[epoch: 0001] (0191/0391) | Loss: 1.6261 | top1: 37.7495 | top5: 85.2299 
[epoch: 0001] (0201/0391) | Loss: 1.6148 | top1: 38.2735 | top5: 85.6538 
[epoch: 0001] (0211/0391) | Loss: 1.6029 | top1: 38.8700 | top5: 85.9708 
[epoch: 0001] (0221/0391) | Loss: 1.5905 | top1: 39.4337 | top5: 86.3758 
[epoch: 0001] (0231/0391) | Loss: 1.5778 | top1: 40.0805 | top5: 86.7729 
[epoch: 0001] (0241/0391) | Loss: 1.5645 | top1: 40.7125 | top5: 87.0818 
